ls6500: Output directed to terminal and Log/Pre-irrad_4_141031_201411051643_762619.log
Created Figures/Pre-irrad_4_141031/
initialize ls6500
dataDir /Users/djaffe/work/GIT/LINDSEY/TechMaturation2014/LS6500/Pre-irrad_4_141031/ 
dataSubDir Pre-irrad_4_141031/
initialize spreadsheetReader
ls6500.Main: pickMode put
ls6500.processHeader: columnIDs ['TrayID', 'Position01', 'Position02', 'Position03', 'Position04', 'Position05', 'Position06', 'Position07', 'Position08', 'Position09', 'Position10', 'Position11', 'Position12']
vial#   sampleName     position check of sample name Number of `no vial` slots to this slot
    0      STD_3_H S1_Position01 STD_3_H 0
    1    0050_1F13 S1_Position02 0050_1F13 0
    2    0052_1F14 S1_Position03 0052_1F14 0
    3    0050_2F13 S1_Position04 0050_2F13 0
    4    0052_2F14 S1_Position05 0052_2F14 0
    5    0050_3F13 S1_Position06 0050_3F13 0
    6    0052_3F14 S1_Position07 0052_3F14 0
    7    0050_4F13 S1_Position08 0050_4F13 0
    8    0052_4F14 S1_Position09 0052_4F14 0
    9    0100_1F15 S1_Position10 0100_1F15 0
   10    0102_1F25 S1_Position11 0102_1F25 0
   11    0100_2F15 S1_Position12 0100_2F15 0
   12    0102_2F25 S2_Position01 0102_2F25 0
   13     STD_14_C S2_Position02 STD_14_C 0
   14    0100_3F15 S2_Position03 0100_3F15 0
   15    0102_3F25 S2_Position04 0102_3F25 0
   16    0100_4F15 S2_Position05 0100_4F15 0
   17    0102_4F25 S2_Position06 0102_4F25 0
   18    0140_1F23 S2_Position07 0140_1F23 0
   19    0142_1F33 S2_Position08 0142_1F33 0
   20    0140_2F23 S2_Position09 0140_2F23 0
   21    0142_2F33 S2_Position10 0142_2F33 0
   22    0140_3F23 S2_Position11 0140_3F23 0
   23    0142_3F33 S2_Position12 0142_3F33 0
   24    0140_4F23 S3_Position01 0140_4F23 0
   25    0142_4F33 S3_Position02 0142_4F33 0
   26        EMPTY S3_Position03 EMPTY 0
   27    1000_1F34 S3_Position04 1000_1F34 0
   28    1002_1F35 S3_Position05 1002_1F35 0
   29    1000_2F34 S3_Position06 1000_2F34 0
   30    1002_2F35 S3_Position07 1002_2F35 0
   31    1000_3F34 S3_Position08 1000_3F34 0
   32    1002_3F35 S3_Position09 1002_3F35 0
   33    1000_4F34 S3_Position10 1000_4F34 0
   34    1002_4F35 S3_Position11 1002_4F35 0
   35    0050_1R13 S3_Position12 0050_1R13 0
   36    0052_1R14 S4_Position01 0052_1R14 0
   37    0050_2R13 S4_Position02 0050_2R13 0
   38    0052_2R14 S4_Position03 0052_2R14 0
   39        EMPTY S4_Position04 EMPTY 0
   40    0050_3R13 S4_Position05 0050_3R13 0
   41    0052_3R14 S4_Position06 0052_3R14 0
   42    0050_4R13 S4_Position07 0050_4R13 0
   43    0052_4R14 S4_Position08 0052_4R14 0
   44    0100_1R15 S4_Position09 0100_1R15 0
   45    0102_1R25 S4_Position10 0102_1R25 0
   46    0100_2R15 S4_Position11 0100_2R15 0
   47    0102_2R25 S4_Position12 0102_2R25 0
   48    0100_3R15 S5_Position01 0100_3R15 0
   49    0102_3R25 S5_Position02 0102_3R25 0
   50    0100_4R15 S5_Position03 0100_4R15 0
   51    0102_4R25 S5_Position04 0102_4R25 0
   52        EMPTY S5_Position05 EMPTY 0
   53    0140_1R23 S5_Position06 0140_1R23 0
   54    0142_1R33 S5_Position07 0142_1R33 0
   55    0140_2R23 S5_Position08 0140_2R23 0
   56    0142_2R33 S5_Position09 0142_2R33 0
   57    0140_3R23 S5_Position10 0140_3R23 0
   58    0142_3R33 S5_Position11 0142_3R33 0
   59    0140_4R23 S5_Position12 0140_4R23 0
   60    0142_4R33 S6_Position01 0142_4R33 0
   61    1000_1R34 S6_Position02 1000_1R34 0
   62    1002_1R35 S6_Position03 1002_1R35 0
   63    1000_2R34 S6_Position04 1000_2R34 0
   64    1002_2R35 S6_Position05 1002_2R35 0
   65        EMPTY S6_Position06 EMPTY 0
   66    1000_3R34 S6_Position07 1000_3R34 0
   67    1002_3R35 S6_Position08 1002_3R35 0
   68    1000_4R34 S6_Position09 1000_4R34 0
   69    1002_4R35 S6_Position10 1002_4R35 0
   70    0050_FPMT S6_Position11 0050_FPMT 0
   71    0050_RPMT S6_Position12 0050_RPMT 0
   72    0050_1F11 S7_Position01 0050_1F11 0
   73    0052_1F12 S7_Position02 0052_1F12 0
   74    0050_2F11 S7_Position03 0050_2F11 0
   75    0052_2F12 S7_Position04 0052_2F12 0
   76    0050_3F11 S7_Position05 0050_3F11 0
   77    0052_3F12 S7_Position06 0052_3F12 0
   78        EMPTY S7_Position07 EMPTY 0
   79    0050_4F11 S7_Position08 0050_4F11 0
   80    0052_4F12 S7_Position09 0052_4F12 0
   81    0100_1F22 S7_Position10 0100_1F22 0
   82    0102_1F21 S7_Position11 0102_1F21 0
   83    0100_2F22 S7_Position12 0100_2F22 0
   84    0102_2F21 S8_Position01 0102_2F21 0
   85    0100_3F22 S8_Position02 0100_3F22 0
   86    0102_3F21 S8_Position03 0102_3F21 0
   87    0100_4F22 S8_Position04 0100_4F22 0
